name,price,category,Description
Ads Management - Google & YouTube (Google & YouTube Ads),3000,subscription,"Account Setup & Tracking:
• Google Ads + YouTube Ads setup/optimization
• Conversion tracking setup (Google Tag Manager + Analytics)
• Audience segmentation (custom intent, remarketing, lookalike audiences)

Campaign Strategy & Build:
• Campaign structuring for lead generation, sales, or brand awareness
• Keyword + audience targeting research
• Ad formats selection (In-Stream, In-Feed, Bumper, Search, Performance Max)
• Landing page review + conversion recommendations

Ongoing Optimization:
• Weekly performance monitoring & tweaking
• Bid strategy and budget optimization
• A/B testing (ad copy, CTAs, audiences)
• Retargeting campaign setup for warm traffic
• Monthly performance report + improvement plan

Not included:
- Ad Budget"
Social Media Setup,800,oneshot,"Meta Setup (Facebook + Instagram Linked):
- Creation or optimization of Facebook business page and Instagram account
- Linking accounts via Meta Business Suite for unified management
- Profile and cover photo setup
- Bio, business information, and contact details configured
- Call-to-action buttons added (e.g., WhatsApp, website, email)
- Basic account settings configured for visibility, messaging, and discoverability

TikTok Account Setup:
- Creation of TikTok account (or optimization if account exists)
- Profile photo and bio setup according to brand guidelines
- Account linking (if applicable, e.g., website or other social handles)
- Basic account settings configured for privacy and discoverability

YouTube Channel Setup:
- Creation or optimization of YouTube channel
- Channel logo and banner design and upload
- Channel description, business details, and contact information configured
- Custom links and call-to-actions added to banner (e.g. website, email, socials)
- Channel settings optimized for visibility, discoverability, and audience
engagement

Turnaround Time: 2 Days"
Video Basic (per minute),500,oneshot,"- 1x video up to 1 minute long 
- Includes scripting, planning, shooting and editing
- Shot on professional camera in 4k
- Subtitles included
- Simple Graphics
- Final Video Delivered in 1080p
- Up to 1 hour shoot time
- Up to 2x revisions"
Video Basic (per minute) - midnight shoot,750,oneshot,"- 1x video up to 1 minute long 
- Includes scripting, planning, shooting and editing
- Midnight shoot (between 10pm - 7am)
- Shot on professional camera in 4k
- Subtitles included
- Simple Graphics
- Final Video Delivered in 1080p
- Up to 1 hour shoot time
- Up to 2x revisions"
Video with Teleprompter (per minute),700,oneshot,"- 1x video up to 1 minute long 
- Includes scripting, planning, shooting and editing
- Shot on professional camera in 4k
- Teleprompter
- Subtitles included
- Simple Graphics
- Final Video Delivered in 1080p
- Up to 1 hour shoot time
- Up to 2x revisions"
Video with Teleprompter (per minute) - midnight shoot,1050,oneshot,"- 1x video up to 1 minute long 
- Includes scripting, planning, shooting and editing
- Midnight shoot (between 10pm - 7am)
- Shot on professional camera in 4k
- Teleprompter
- Subtitles included
- Simple Graphics
- Final Video Delivered in 1080p
- Up to 1 hour shoot time
- Up to 2x revisions"
Video with Teleprompter + Lights (per minute),1000,oneshot,"- 1x video up to 1 minute long 
- Includes scripting, planning, shooting and editing
- Shot on professional camera in 4k
- Teleprompter
- 2x Lights Included
- Subtitles included
- Simple Graphics
- Final Video Delivered in 1080p
- Up to 1 hour shoot time
- Up to 2x revisions"
Video with Teleprompter + Lights (per minute) - midnight shoot,1500,oneshot,"- 1x video up to 1 minute long 
- Includes scripting, planning, shooting and editing
- Midnight shoot (between 10pm - 7am)
- Shot on professional camera in 4k
- Teleprompter
- 2x Lights Included
- Subtitles included
- Simple Graphics
- Final Video Delivered in 1080p
- Up to 1 hour shoot time
- Up to 2x revisions"
Graphics (per page) - content written by client,50,oneshot,"- 1 page of graphic design for social media platforms

Clients responsibilities:
- Send us the content they want to feature on their infographic"
Graphics (per page) - content written by us,150,oneshot,"- 1 page of graphic design for social media platforms
- We write the content for the infographic based on client's key points

Clients responsibilities:
- Send us the key points of content they want to feature on their infographic"
Talent Release Form (per head),50,oneshot,"- 1x Digital Talent Release Form
- 1x digital copy for client and 1x copy for talent
- Customised shoot details
- Facilitate Signing of talent release form"
Shooting Permits Admin Fee - Standard (per location),150,oneshot,"• Preparing and submitting filming/photography permit application
• Communicating with venue/management for approval
• Coordinating required documents and scheduling
• Confirming clearance before shoot day

Client Responsibilities:
• Client pays any official permit or venue fees (if applicable)
• Client provides accurate shoot details, ID/business info for forms
• Client confirms date/time/location in advance

This fee covers administrative coordination only. Official permit/location fees billed separately at cost."
Shooting Permits Admin Fee - Private Venue (per location),250,oneshot,"• Permit application and approval request to venue management
• Negotiation of shoot terms, timing and on-site conditions
• Coordination of any required releases or insurance proof
• Final confirmation before shoot day

Client Responsibilities:
• Client pays any private venue rental / clearance / management fees
• Client provides shoot details, ID/company info, and brand assets if requested
• Client confirms date/time/location in advance

This fee covers administrative coordination only. Venue fees billed separately at cost."
Shooting Permits Admin Fee - Complex / Government Permit (per location),400,oneshot,"• Submitting applications to government boards / town council / NParks, etc.
• Handling document requirements, safety clearances, or compliance notes
• Follow-ups and timeline tracking until approval
• Final clearance confirmation before shoot day

Client Responsibilities:
• Client pays any government permit fees or additional compliance charges
• Client provides identification and any required supporting documents promptly
• Client confirms shoot date/time/location in advance

This fee covers administrative coordination only. Government permit fees billed separately at cost."
Location Sourcing (Administrative Service Only),200,oneshot,"• Researching and identifying suitable shoot locations based on client requirements
• Contacting venues to check availability, regulations, and usage terms
• Preparing and presenting a shortlist of viable location options
• Coordinating initial discussions with venue management

Client Responsibilities:
• Client pays any venue rental fees, security deposits, or usage charges directly to the venue
• Client must confirm which location to proceed with in a timely manner
• Client is responsible for any venue-specific rules, insurance requirements, or on-site restrictions

This fee covers location research and coordination only. Venue rental/usage fees are billed separately at cost."
Monthly Website Support Package,2000,subscription,"- 4x SEO articles per month
- 1x graphic per article
- 2 keyword-optimised meta title options (under 60 characters)
- 2 keyword-optimised meta description options (under 160 characters)
- Backlinks to money making pages and external links"
Monthly Website Maintenance Add-On,300,subscription,"Ongoing maintenance and technical support to ensure your website runs smoothly and any issues are promptly resolved.

Inclusions (Up to 2 Hours Per Month):
- Troubleshooting and fixing website bugs or technical issues
- Minor updates to text and images
- Monitoring website performance and uptime
- Regular backups (weekly or monthly)
- Support via email or messaging for website-related queries"
1-hr Event Photography (40 photos per hour),300,oneshot,"- 40x edited photos per hour of event photography
- Shot by professional photographer
- Shot on professional camera with professional grade photography equipment
- Sent to client via Dropbox or Google Drive

Turnaround Time: 1-2 weeks"
Outdoor Portrait Photo Package (10 photos),1800,oneshot,"- 10 professionally taken and edited portrait photos
- 2-hour photographer-directed shoot (on-location or simple setup, no studio)
- Full editing and retouching included
- Custom direction for posing, composition, and mood

Travel or location fees if shoot is outside a standard area (quoted separately)

Client Responsibilities:
- Bring wardrobe choices and props (if any)
- Communicate preferences for style or mood
- Provide access to the chosen location"
Studio Portrait Photo Package (10 photos),2500,oneshot,"- 10 professionally taken and edited portrait photos
- 2-hour studio shoot (includes photographer and full staging)
- Editing and retouching included
- Custom direction for posing, composition, and mood

Client Responsibilities:
Bring wardrobe choices and props (if any)
Communicate preferences for style or mood"
1x Additional Photo (Studio Portrait Photo Package),200,oneshot,Extra Photo for Studio Portrait Photo Package
1-hr Extra Shoot Time,500,addon,Extra 1-hr of shoot time with no studio involved (covers full crew ONLY)
1-hr Extra Studio Time ,700,addon,Extra 1-hr of studio time (covers full crew and studio use)
Additional revisions - minor revisions (under 5 minor revisions),150,addon,1x additional revision for videos after the standard 2 revisions
Re-edit fee - major revisions (more than 5 minor revisions or if video requires major rework),500,addon,1x additional revision for videos after the standard 2 revisions if more than 5 minor revisions or if video requires major rework
Additional revisions - graphic (Per Page),50,addon,1x additional revision for graphics after the standard 2 revisions
1-hr teleprompter use (Ala-Carte),250,addon,"- 1-hr of teleptompter use
- Includes manpower to set-up, operate, tear down and transport"
1-hr Professional Lighting use - 2x professional lights (Ala-Carte),350,addon,"- 1-hr of lighting use
- Includes manpower to set-up, operate, tear down and transport"
One-time project surcharge (short video),300,addon,Surcharge for one-time video projects
